train acc = 10.8000, val acc = 15.8600
train acc = 15.1750, val acc = 20.0900
train acc = 17.2800, val acc = 23.6800
train acc = 19.2050, val acc = 24.5200
train acc = 20.4650, val acc = 28.5900
train acc = 21.4975, val acc = 28.5200
train acc = 22.4275, val acc = 30.3300
train acc = 23.6025, val acc = 33.9700
train acc = 25.4250, val acc = 35.0000
train acc = 26.5925, val acc = 35.8700
train acc = 27.9500, val acc = 37.0400
train acc = 29.6375, val acc = 39.4800
train acc = 30.8050, val acc = 42.1400
train acc = 32.5850, val acc = 41.5400
train acc = 33.8125, val acc = 44.3600
train acc = 36.0750, val acc = 47.9600
train acc = 37.0550, val acc = 49.2700
train acc = 38.9875, val acc = 50.6800
train acc = 40.3650, val acc = 52.2900
train acc = 41.1550, val acc = 53.0500
