image_id,coarse_label
0,16
1,19
2,1
3,8
4,5
5,2
6,8
7,3
8,12
9,9
10,1
11,19
12,13
13,0
14,7
15,13
16,15
17,7
18,9
19,9
20,13
21,3
22,7
23,2
24,14
25,0
26,6
27,14
28,7
29,14
30,12
31,8
32,8
33,11
34,4
35,7
36,2
37,0
38,18
39,8
40,8
41,8
42,14
43,19
44,10
45,12
46,19
47,14
48,10
49,18
50,8
51,17
52,11
53,19
54,13
55,7
56,18
57,8
58,0
59,5
60,14
61,19
62,7
63,18
64,9
65,10
66,3
67,7
68,9
69,16
70,13
71,18
72,18
73,0
74,3
75,11
76,10
77,18
78,7
79,19
80,12
81,3
82,1
83,9
84,9
85,7
86,13
87,12
88,5
89,1
90,10
91,4
92,8
93,4
94,18
95,2
96,17
97,8
98,12
99,8
100,11
101,7
102,2
103,17
104,3
105,15
106,7
107,0
108,2
109,0
110,9
111,5
112,11
113,0
114,17
115,16
116,8
117,19
118,8
119,4
120,5
121,17
122,7
123,8
124,18
125,6
126,8
127,11
128,14
129,11
130,14
131,13
132,7
133,3
134,9
135,17
136,14
137,3
138,9
139,3
140,9
141,18
142,5
143,10
144,5
145,4
146,11
147,6
148,2
149,9
150,0
151,9
152,19
153,5
154,19
155,11
156,8
157,5
158,12
159,1
160,7
161,14
162,6
163,7
164,8
165,19
166,1
167,1
168,11
169,14
170,0
171,3
172,17
173,14
174,8
175,7
176,0
177,11
178,11
179,3
180,3
181,1
182,4
183,18
184,15
185,8
186,16
187,9
188,16
189,8
190,1
191,8
192,4
193,13
194,8
195,2
196,13
197,6
198,3
199,18
200,12
201,13
202,18
203,6
204,19
205,10
206,18
207,0
208,18
209,7
210,6
211,14
212,3
213,8
214,10
215,7
216,9
217,7
218,2
219,7
220,12
221,11
222,18
223,7
224,11
225,8
226,4
227,4
228,4
229,8
230,0
231,9
232,11
233,4
234,7
235,6
236,13
237,17
238,11
239,14
240,8
241,6
242,9
243,8
244,7
245,7
246,2
247,17
248,8
249,19
250,2
251,2
252,5
253,11
254,3
255,16
256,19
257,17
258,18
259,14
260,4
261,0
262,8
263,14
264,11
265,3
266,8
267,0
268,5
269,7
270,19
271,7
272,7
273,18
274,19
275,10
276,8
277,19
278,14
279,19
280,2
281,17
282,14
283,6
284,12
285,5
286,4
287,11
288,2
289,15
290,3
291,15
292,19
293,18
294,0
295,5
296,19
297,5
298,6
299,5
300,18
301,17
302,17
303,9
304,13
305,12
306,15
307,7
308,1
309,11
310,6
311,12
312,6
313,3
314,14
315,12
316,13
317,14
318,5
319,19
320,1
321,12
322,7
323,5
324,10
325,7
326,1
327,17
328,18
329,0
330,17
331,6
332,2
333,8
334,18
335,6
336,8
337,18
338,10
339,3
340,3
341,9
342,3
343,18
344,13
345,6
346,0
347,17
348,5
349,10
350,17
351,17
352,8
353,17
354,10
355,12
356,0
357,8
358,14
359,17
360,15
361,8
362,19
363,9
364,4
365,2
366,6
367,8
368,6
369,17
370,4
371,15
372,5
373,1
374,14
375,11
376,4
377,4
378,18
379,7
380,12
381,19
382,18
383,15
384,6
385,1
386,19
387,2
388,9
389,19
390,8
391,19
392,18
393,7
394,6
395,16
396,9
397,11
398,15
399,12
400,19
401,8
402,4
403,6
404,11
405,13
406,2
407,14
408,12
409,12
410,8
411,19
412,17
413,18
414,17
415,17
416,1
417,10
418,0
419,9
420,8
421,12
422,2
423,11
424,8
425,7
426,10
427,7
428,17
429,5
430,6
431,18
432,3
433,12
434,0
435,6
436,6
437,5
438,6
439,5
440,4
441,0
442,15
443,15
444,2
445,8
446,7
447,7
448,17
449,4
450,6
451,15
452,9
453,17
454,14
455,12
456,11
457,8
458,6
459,10
460,8
461,10
462,7
463,5
464,17
465,2
466,0
467,16
468,4
469,18
470,1
471,1
472,13
473,6
474,7
475,7
476,8
477,5
478,19
479,9
480,5
481,6
482,10
483,2
484,13
485,19
486,14
487,6
488,5
489,1
490,1
491,18
492,7
493,11
494,3
495,17
496,9
497,10
498,17
499,1
500,7
501,1
502,11
503,9
504,5
505,8
506,1
507,12
508,18
509,6
510,11
511,8
512,13
513,9
514,17
515,10
516,15
517,18
518,17
519,0
520,10
521,14
522,14
523,18
524,14
525,6
526,16
527,9
528,9
529,13
530,10
531,10
532,3
533,19
534,12
535,1
536,17
537,19
538,7
539,18
540,10
541,9
542,1
543,6
544,19
545,2
546,12
547,12
548,6
549,11
550,18
551,7
552,10
553,5
554,2
555,15
556,4
557,6
558,12
559,7
560,7
561,6
562,4
563,3
564,18
565,0
566,7
567,19
568,9
569,11
570,12
571,4
572,13
573,7
574,14
575,12
576,3
577,3
578,17
579,9
580,15
581,7
582,12
583,5
584,18
585,18
586,9
587,0
588,2
589,6
590,0
591,8
592,12
593,2
594,5
595,1
596,2
597,4
598,11
599,2
600,18
601,9
602,7
603,19
604,8
605,11
606,8
607,15
608,13
609,5
610,17
611,5
612,12
613,7
614,5
615,14
616,16
617,6
618,17
619,10
620,18
621,11
622,4
623,6
