train acc = 3.2725, val acc = 4.8500
train acc = 4.9600, val acc = 7.2500
train acc = 6.1375, val acc = 8.9300
train acc = 6.8875, val acc = 9.2000
train acc = 7.8050, val acc = 11.2300
train acc = 8.7600, val acc = 14.0300
train acc = 9.5375, val acc = 15.2500
train acc = 11.0350, val acc = 16.4700
train acc = 12.2275, val acc = 18.5100
train acc = 13.2475, val acc = 20.0900
train acc = 14.5850, val acc = 23.1000
train acc = 16.1975, val acc = 27.2600
train acc = 17.4775, val acc = 26.3200
train acc = 19.3075, val acc = 28.7400
train acc = 20.7900, val acc = 32.3300
train acc = 21.8550, val acc = 34.2300
train acc = 23.2800, val acc = 36.9300
train acc = 25.1275, val acc = 38.8700
train acc = 25.7550, val acc = 39.7800
train acc = 26.2200, val acc = 40.1900
